location,month,daily_peak_C,daily_avg_C
AZ,0.057,59.6,51.8
AZ,0.086,60.1,51.8
AZ,0.115,60.2,51.9
AZ,0.144,62.5,52.1
AZ,0.172,62.5,53.1
AZ,0.201,61.8,53.6
AZ,0.23,61.8,54.7
AZ,0.258,61.8,54.7
AZ,0.287,62.5,55.0
AZ,0.316,62.5,55.1
AZ,0.344,62.8,55.0
AZ,0.373,62.8,54.7
AZ,0.402,62.8,54.7
AZ,0.431,62.8,53.4
AZ,0.459,60.2,51.3
AZ,0.488,59.6,51.0
AZ,0.517,58.9,50.7
AZ,0.545,58.8,50.7
AZ,0.574,58.8,50.7
AZ,0.603,58.8,50.7
AZ,0.632,58.9,50.7
AZ,0.66,59.8,51.1
AZ,0.689,60.2,51.8
AZ,0.718,60.3,51.8
AZ,0.746,60.3,52.0
AZ,0.775,60.6,52.3
AZ,0.804,60.6,52.3
AZ,0.833,60.6,52.3
AZ,0.861,60.6,52.3
AZ,0.89,59.3,51.7
AZ,0.919,58.2,49.2
AZ,0.947,58.2,49.2
AZ,0.976,58.2,49.2
AZ,1.005,58.2,49.2
AZ,1.033,59.3,49.2
AZ,1.062,60.1,51.1
AZ,1.091,60.1,51.1
AZ,1.12,60.4,51.1
AZ,1.148,60.4,51.1
AZ,1.177,60.1,50.0
AZ,1.206,59.9,49.8
AZ,1.234,59.4,45.9
AZ,1.263,57.0,45.9
AZ,1.292,57.0,45.9
AZ,1.321,57.0,45.9
AZ,1.349,57.0,46.2
AZ,1.378,60.4,49.3
AZ,1.407,60.4,49.3
AZ,1.435,60.4,49.3
AZ,1.464,60.4,49.3
AZ,1.493,60.4,50.1
AZ,1.522,60.4,50.1
AZ,1.55,60.4,50.1
AZ,1.579,62.6,51.0
AZ,1.608,64.6,53.3
AZ,1.636,64.9,55.1
AZ,1.665,65.9,55.3
AZ,1.694,66.8,55.4
AZ,1.722,67.0,56.4
AZ,1.751,67.5,57.7
AZ,1.78,69.1,58.3
AZ,1.809,70.3,59.0
AZ,1.837,70.3,59.0
AZ,1.866,70.3,59.0
AZ,1.895,70.3,59.0
AZ,1.923,70.3,57.7
AZ,1.952,67.8,57.5
AZ,1.981,65.5,57.2
AZ,2.01,65.2,56.1
AZ,2.038,65.1,54.6
AZ,2.067,63.9,50.2
AZ,2.096,63.0,47.2
AZ,2.124,61.5,47.2
AZ,2.153,61.5,47.2
AZ,2.182,61.5,47.2
AZ,2.211,61.5,50.5
AZ,2.239,64.9,54.7
AZ,2.268,67.1,57.4
AZ,2.297,67.6,58.1
AZ,2.325,69.3,59.1
AZ,2.354,69.4,59.6
AZ,2.383,69.4,59.8
AZ,2.411,69.7,60.2
AZ,2.44,69.9,60.2
AZ,2.469,69.9,60.2
AZ,2.498,69.7,60.2
AZ,2.526,69.4,59.1
AZ,2.555,67.8,55.6
AZ,2.584,65.8,55.5
AZ,2.612,65.8,55.5
AZ,2.641,65.8,55.5
AZ,2.67,65.8,55.5
AZ,2.699,66.1,55.5
AZ,2.727,68.0,55.5
AZ,2.756,68.0,55.5
AZ,2.785,68.0,55.5
AZ,2.813,68.0,54.8
AZ,2.842,65.0,54.4
AZ,2.871,64.8,53.7
AZ,2.9,64.8,53.6
AZ,2.928,64.8,52.8
AZ,2.957,64.8,52.4
AZ,2.986,65.0,52.0
AZ,3.014,65.6,52.0
AZ,3.043,65.6,52.0
AZ,3.072,67.3,52.0
AZ,3.1,69.8,57.7
AZ,3.129,72.1,60.2
AZ,3.158,73.7,61.7
AZ,3.187,73.7,61.7
AZ,3.215,73.7,61.7
AZ,3.244,73.7,61.7
AZ,3.273,73.5,61.5
AZ,3.301,71.9,61.3
AZ,3.33,71.9,60.6
AZ,3.359,71.8,60.6
AZ,3.388,71.8,60.6
AZ,3.416,71.8,60.6
AZ,3.445,71.8,60.6
AZ,3.474,72.5,60.7
AZ,3.502,73.1,61.0
AZ,3.531,73.3,61.0
AZ,3.56,73.3,61.0
AZ,3.589,73.3,61.0
AZ,3.617,73.3,61.0
AZ,3.646,73.3,61.0
AZ,3.675,73.2,61.0
AZ,3.703,73.1,61.0
AZ,3.732,73.1,61.7
AZ,3.761,73.1,62.5
AZ,3.789,73.1,62.5
AZ,3.818,73.2,62.5
AZ,3.847,73.3,62.5
AZ,3.876,73.4,62.2
AZ,3.904,74.0,62.2
AZ,3.933,74.0,62.2
AZ,3.962,74.0,61.9
AZ,3.99,74.0,61.9
AZ,4.019,72.7,59.1
AZ,4.048,72.5,58.0
AZ,4.077,70.3,57.0
AZ,4.105,67.0,55.5
AZ,4.134,67.0,55.5
AZ,4.163,67.0,55.5
AZ,4.191,67.0,55.5
AZ,4.22,67.9,57.0
AZ,4.249,70.8,59.0
AZ,4.278,73.0,61.4
AZ,4.306,73.0,63.1
AZ,4.335,73.0,64.1
AZ,4.364,73.0,64.9
AZ,4.392,72.8,64.9
AZ,4.421,72.5,64.9
AZ,4.45,72.3,64.9
AZ,4.478,72.1,64.8
AZ,4.507,71.9,62.1
AZ,4.536,71.9,61.0
AZ,4.565,71.9,61.0
AZ,4.593,71.9,61.0
AZ,4.622,73.3,61.0
AZ,4.651,73.4,62.9
AZ,4.679,73.4,63.1
AZ,4.708,73.5,63.1
AZ,4.737,73.6,63.2
AZ,4.766,73.6,64.0
AZ,4.794,73.7,64.5
AZ,4.823,73.7,64.5
AZ,4.852,73.7,64.5
AZ,4.88,73.7,64.5
AZ,4.909,73.8,64.5
AZ,4.938,73.8,64.5
AZ,4.967,73.8,64.5
AZ,4.995,74.2,64.6
AZ,5.024,74.7,65.0
AZ,5.053,75.1,65.7
AZ,5.081,75.5,66.1
AZ,5.11,75.9,66.1
AZ,5.139,76.4,66.1
AZ,5.167,76.8,66.2
AZ,5.196,77.2,66.6
AZ,5.225,77.6,66.6
AZ,5.254,78.0,66.6
AZ,5.282,78.4,67.5
AZ,5.311,79.3,68.1
AZ,5.34,80.7,68.5
AZ,5.368,80.8,69.1
AZ,5.397,80.8,69.3
AZ,5.426,80.8,69.7
AZ,5.455,80.8,69.7
AZ,5.483,80.9,69.7
AZ,5.512,84.2,69.7
AZ,5.541,84.4,69.6
AZ,5.569,94.8,69.6
AZ,5.598,94.8,69.3
AZ,5.627,94.8,68.7
AZ,5.656,94.8,68.6
AZ,5.684,94.8,68.2
AZ,5.713,94.8,68.2
AZ,5.742,94.8,68.2
AZ,5.77,94.8,68.1
AZ,5.799,94.8,68.1
AZ,5.828,94.8,68.0
AZ,5.856,94.8,66.8
AZ,5.885,94.8,65.9
AZ,5.914,94.8,65.9
AZ,5.943,94.8,65.9
AZ,5.971,95.2,65.9
AZ,6.0,95.2,66.9
AZ,6.029,95.2,67.0
AZ,6.057,95.2,68.4
AZ,6.086,81.2,68.9
AZ,6.115,81.2,68.9
AZ,6.144,81.2,68.9
AZ,6.172,81.2,68.9
AZ,6.201,94.2,68.3
AZ,6.23,94.2,67.5
AZ,6.258,94.2,67.5
AZ,6.287,94.2,67.5
AZ,6.316,92.8,67.5
AZ,6.344,84.5,67.5
AZ,6.373,84.5,67.7
AZ,6.402,84.5,67.7
AZ,6.431,84.5,67.7
AZ,6.459,84.7,67.7
AZ,6.488,85.3,66.8
AZ,6.517,86.0,66.2
